Z,N,Mass Excess [MeV],Error,Estimated
30,45,-62.558908,0.001956,0
30,46,-62.303016,0.001456,0
30,47,-58.789195,0.001973,0
30,48,-57.483235,0.001944,0
30,49,-53.432295,0.002225,0
30,50,-51.648612,0.002585,0
30,51,-46.199663,0.00503,0
30,52,-42.313954,0.003074,0
30,53,-36.29,0.3,1
30,54,-31.93,0.4,1
30,55,-25.23,0.5,1
31,25,-3.39,0.5,1
31,26,-15.01,0.4,1
31,27,-23.54,0.3,1
31,28,-33.76,0.17,1
31,29,-39.59,0.2,1
31,30,-47.134659,0.037994,0
31,31,-51.986906,0.000647,0
31,32,-56.547093,0.001304,0
31,33,-58.832821,0.001429,0
31,34,-62.657507,0.000815,0
31,35,-63.72366,0.001096,0
31,36,-66.879048,0.001181,0
31,37,-67.085992,0.001433,0
31,38,-69.327809,0.001197,0
31,39,-68.91014,0.001201,0
31,40,-70.139135,0.000812,0
31,41,-68.588293,0.000819,0
31,42,-69.699335,0.001677,0
31,43,-68.049617,0.002994,0
31,44,-68.46458,0.002422,0
31,45,-66.29664,0.001956,0
31,46,-65.992344,0.002422,0
31,47,-63.70595,0.001903,0
31,48,-62.547679,0.001868,0
31,49,-59.223667,0.002891,0
31,50,-57.627954,0.003264,0
31,51,-52.930719,0.002426,0
31,52,-49.257122,0.002613,0
31,53,-44.088,0.2,1
31,54,-39.849,0.298,1
31,55,-34.08,0.4,1
31,56,-29.25,0.5,1
32,26,-7.08,0.5,1
32,27,-15.87,0.4,1
32,28,-27.09,0.3,1
32,29,-33.36,0.3,1
32,30,-41.74,0.14,1
32,31,-46.921216,0.03726,0
32,32,-54.315496,0.003726,0
32,33,-56.478216,0.002165,0
32,34,-61.607032,0.002401,0
32,35,-62.65823,0.004661,0
32,36,-66.978789,0.001876,0
32,37,-67.100663,0.001318,0
32,38,-70.561876,0.000838,0
32,39,-69.906497,0.000834,0
32,40,-72.5859,0.000076,0
32,41,-71.297523,0.000057,0
32,42,-73.422442,0.000013,0
32,43,-71.856965,0.000052,0
32,44,-73.212889,0.000018,0
32,45,-71.212862,0.000053,0
32,46,-71.86205,0.003536,0
32,47,-69.526592,0.037181,0
32,48,-69.535306,0.002054,0
32,49,-66.291687,0.002055,0
32,50,-65.415067,0.002241,0
32,51,-60.976435,0.002427,0
32,52,-58.148428,0.003171,0
32,53,-53.12342,0.003729,0
32,54,-49.399922,0.437802,0
32,55,-44.078,0.3,1
32,56,-40.138,0.4,1
32,57,-33.729,0.4,1
32,58,-29.221,0.5,1
33,27,-5.47,0.4,1
33,28,-16.9,0.3,1
33,29,-24.32,0.3,1
33,30,-33.5,0.2,1
33,31,-39.532,0.203,1
33,32,-46.937051,0.084766,0
33,33,-52.025077,0.005682,0
33,34,-56.587225,0.000443,0
33,35,-58.894519,0.001846,0
33,36,-63.112171,0.031999,0
33,37,-64.341876,0.050007,0
33,38,-67.893097,0.004167,0
33,39,-68.229798,0.004083,0
33,40,-70.952747,0.003853,0
33,41,-70.860054,0.001693,0
33,42,-73.034195,0.000884,0
33,43,-72.291377,0.000886,0
33,44,-73.916318,0.001693,0
33,45,-72.81694,0.009781,0
33,46,-73.636049,0.005328,0
33,47,-72.214493,0.003333,0
33,48,-72.533304,0.002644,0
33,49,-70.105419,0.003729,0
33,50,-69.669323,0.002799,0
33,51,-65.85356,0.003171,0
33,52,-63.189144,0.003078,0
33,53,-58.962142,0.00345,0
33,54,-55.617907,0.002985,0
33,55,-50.72,0.196,1
33,56,-46.798,0.298,1
33,57,-41.33,0.4,1
33,58,-36.896,0.4,1
33,59,-30.981,0.5,1
34,30,-26.7,0.503,1
34,31,-33.02,0.3,1
34,32,-41.66,0.2,1
34,33,-46.580289,0.067068,0
34,34,-54.189441,0.000496,0
